225-237  E13.8  W.sr-1.m-3 za60_pwv3.0 [0.0/344254.35] Description of
                                  za60_pwv3.0
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
3.1442922e-07 3.0607512e-59 3.0609713e-59 3.0614090e-59 3.0618452e-59 3.5215111e-59 3.5217608e-59 3.5222620e-59 3.5227599e-59 4.2870027e-59 4.2873043e-59 4.2879050e-59 4.2885003e-59 5.9812851e-59 5.9816919e-59 5.9825062e-59 5.9833141e-59
3.1474365e-07 3.3422931e-59 3.3425144e-59 3.3429543e-59 3.3433928e-59 3.8455385e-59 3.8457894e-59 3.8462928e-59 3.8467932e-59 4.6816731e-59 4.6819758e-59 4.6825785e-59 4.6831759e-59 6.5325727e-59 6.5329800e-59 6.5337951e-59 6.5346041e-59
3.1505839e-07 3.8408187e-59 3.8410398e-59 3.8414787e-59 3.8419169e-59 4.4191865e-59 4.4194366e-59 4.4199386e-59 4.4204379e-59 5.3801711e-59 5.3804725e-59 5.3810720e-59 5.3816664e-59 7.5076025e-59 7.5080058e-59 7.5088126e-59 7.5096140e-59
3.1537345e-07 4.5782499e-59 4.5785061e-59 4.5790146e-59 4.5795224e-59 5.2676993e-59 5.2679890e-59 5.2685705e-59 5.2691489e-59 6.4132732e-59 6.4136223e-59 6.4143163e-59 6.4150046e-59 8.9494507e-59 8.9499173e-59 8.9508504e-59 8.9517775e-59
3.1568882e-07 5.6543084e-59 5.6546184e-59 5.6552336e-59 5.6558480e-59 6.5057936e-59 6.5061440e-59 6.5068474e-59 6.5075472e-59 7.9206000e-59 7.9210222e-59 7.9218614e-59 7.9226937e-59 1.1052822e-58 1.1053385e-58 1.1054513e-58 1.1055633e-58
3.1600451e-07 5.8942353e-59 5.8945433e-59 5.8951541e-59 5.8957645e-59 6.7820987e-59 6.7824466e-59 6.7831449e-59 6.7838399e-59 8.2574893e-59 8.2579083e-59 8.2587407e-59 8.2595664e-59 1.1524454e-58 1.1525012e-58 1.1526129e-58 1.1527238e-58
3.1632052e-07 6.3446765e-59 6.3449990e-59 6.3456383e-59 6.3462775e-59 7.3005897e-59 7.3009538e-59 7.3016846e-59 7.3024122e-59 8.8891733e-59 8.8896117e-59 8.8904825e-59 8.8913463e-59 1.2407281e-58 1.2407865e-58 1.2409032e-58 1.2410192e-58
3.1663684e-07 6.8441994e-59 6.8445462e-59 6.8452338e-59 6.8459212e-59 7.8755779e-59 7.8759695e-59 7.8767555e-59 7.8775380e-59 9.5896899e-59 9.5901615e-59 9.5910980e-59 9.5920272e-59 1.3386313e-58 1.3386941e-58 1.3388197e-58 1.3389445e-58
3.1695347e-07 7.8655400e-59 7.8659269e-59 7.8666935e-59 7.8674601e-59 9.0509494e-59 9.0513859e-59 9.0522620e-59 9.0531344e-59 1.1021125e-58 1.1021651e-58 1.1022694e-58 1.1023729e-58 1.5385229e-58 1.5385927e-58 1.5387324e-58 1.5388713e-58
3.1727043e-07 9.4220457e-59 9.4225112e-59 9.4234337e-59 9.4243562e-59 1.0842094e-58 1.0842620e-58 1.0843674e-58 1.0844724e-58 1.3202284e-58 1.3202916e-58 1.3204172e-58 1.3205418e-58 1.8430476e-58 1.8431317e-58 1.8433000e-58 1.8434672e-58
3.1758770e-07 1.1256977e-58 1.1257528e-58 1.1258619e-58 1.1259710e-58 1.2953658e-58 1.2954279e-58 1.2955526e-58 1.2956767e-58 1.5773673e-58 1.5774421e-58 1.5775906e-58 1.5777379e-58 2.2020677e-58 2.2021672e-58 2.2023660e-58 2.2025636e-58
3.1790529e-07 1.2687818e-58 1.2688442e-58 1.2689679e-58 1.2690916e-58 1.4600407e-58 1.4601111e-58 1.4602525e-58 1.4603932e-58 1.7779419e-58 1.7780267e-58 1.7781951e-58 1.7783622e-58 2.4822322e-58 2.4823450e-58 2.4825706e-58 2.4827948e-58
3.1822319e-07 1.3385927e-58 1.3386591e-58 1.3387906e-58 1.3389220e-58 1.5404174e-58 1.5404923e-58 1.5406426e-58 1.5407923e-58 1.8759047e-58 1.8759949e-58 1.8761740e-58 1.8763516e-58 2.6192620e-58 2.6193820e-58 2.6196221e-58 2.6198607e-58
3.1854141e-07 1.3497264e-58 1.3497936e-58 1.3499266e-58 1.3500597e-58 1.5532812e-58 1.5533570e-58 1.5535091e-58 1.5536606e-58 1.8916733e-58 1.8917646e-58 1.8919459e-58 1.8921257e-58 2.6415947e-58 2.6417163e-58 2.6419595e-58 2.6422012e-58
3.1885996e-07 1.4547319e-58 1.4548040e-58 1.4549469e-58 1.4550897e-58 1.6741583e-58 1.6742397e-58 1.6744030e-58 1.6745657e-58 2.0389559e-58 2.0390539e-58 2.0392487e-58 2.0394418e-58 2.8474860e-58 2.8476166e-58 2.8478777e-58 2.8481374e-58
3.1917882e-07 1.5891580e-58 1.5892367e-58 1.5893926e-58 1.5895486e-58 1.8288942e-58 1.8289830e-58 1.8291613e-58 1.8293389e-58 2.2274761e-58 2.2275831e-58 2.2277956e-58 2.2280064e-58 3.1109701e-58 3.1111127e-58 3.1113978e-58 3.1116812e-58
3.1949799e-07 2.2048205e-58 2.2049513e-58 2.2052113e-58 2.2054706e-58 2.5373985e-58 2.5375468e-58 2.5378443e-58 2.5381402e-58 3.0903198e-58 3.0904987e-58 3.0908547e-58 3.0912075e-58 4.3158444e-58 4.3160848e-58 4.3165656e-58 4.3170431e-58
3.1981749e-07 2.5345395e-58 2.5346779e-58 2.5349525e-58 2.5352267e-58 2.9168894e-58 2.9170459e-58 2.9173600e-58 2.9176726e-58 3.5525790e-58 3.5527678e-58 3.5531430e-58 3.5535151e-58 4.9616505e-58 4.9619032e-58 4.9624087e-58 4.9629108e-58
3.2013731e-07 3.1411907e-58 3.1413876e-58 3.1417787e-58 3.1421689e-58 3.6150608e-58 3.6152840e-58 3.6157319e-58 3.6161771e-58 4.4029145e-58 4.4031840e-58 4.4037204e-58 4.4042521e-58 6.1492927e-58 6.1496556e-58 6.1503817e-58 6.1511026e-58
3.2045745e-07 3.0548570e-58 3.0550490e-58 3.0554307e-58 3.0558113e-58 3.5158283e-58 3.5160461e-58 3.5164832e-58 3.5169176e-58 4.2823065e-58 4.2825695e-58 4.2830930e-58 4.2836120e-58 5.9816114e-58 5.9819657e-58 5.9826747e-58 5.9833786e-58
